PHYSIOTHERAPY DATA BASE,,,,,,,,,,,,,,,,
#,CLINIC,LOCATION,CONTACT,REVIEWS,RATING,WEBSITE PAGE,CONTACT PRIORITY,PROBLEMS TO TARGET,,,,,,,CHECKED BY,NOTES
,,,,,,,,Local Relevance ,Services Visibility,Booking Conversion,Trust / Reviews,Contact Completeness,Insurance / Accessibility,Mobile Readiness,,
1,Pro Physio & Sport Medicine - Carling (Carlingwood),Ottawa,"T : 613-747-8787
E : Ottawa.Carlingwood@lifemark.ca",60,4.4,Link,,,,,,,,,,Pro Physio/Lifemark: ~24 locations in Ottawa region
2,Pro Physio & Sport Medicine - Concession Rd (Kemptville area),Ottawa,"T : 613-656-1400
E : info@prophysiotherapy.com",30,4.4,Link,,,,,,,,,,Pro Physio/Lifemark: ~24 locations in Ottawa region
3,Lifemark Physiotherapy Broadview,Ottawa,"T : 613-722-7839
E : Ottawa.Broadview@lifemark.ca",70,4.3,Link,,,,,,,,,,Lifemark: multiple Ottawa locations
4,Ottawa Physiotherapy & Sport Clinics - Manor Park,Ottawa,"T : 613-783-1420
E : mpphysiotherapy@optsc.com",45,4.4,Link,,,,,,,,,,OPTSC: 9 locations in Ottawa
5,Physiocare Physiotherapy - Nepean,Ottawa,"T : 613-714-9495
E : info@physiocarephysiotherapy.com",130,4.6,Link,,,,,,,,,,Physiocare: 8 locations in Ottawa
6,Back on Track Physiotherapy - Hunt Club,Ottawa,"T : 613-521-5215
E : info@backontrackphysio.com",85,4.6,Link,,,,,,,,,,Back on Track: 12 locations (Ottawa & area)
7,Vitality Physiotherapy & Wellness - Ottawa,Ottawa,"T : 613-706-8424
E : info@vitalitypt.ca",350,4.9,Link,,,,,,,,,,"Vitality: 3+ locations (Ottawa, Riverside South, Kanata)"
8,Vitality Physiotherapy & Wellness - Riverside South,Ottawa,"T : 613-706-8424
E : info@vitalitypt.ca",280,4.9,Link,,,,,,,,,,Vitality: 3+ locations
9,Anatomy Physiotherapy Clinic - Orleans,Ottawa,"T : 613-801-1573
E : info.orleans@anatomyphysioclinic.com",268,4.9,Link,,,,,,,,,,Anatomy: 4 locations in Ottawa
10,Motion Matters Physiotherapy - Nepean,Ottawa,"T : 613-820-3773
E : info@motionmatters.ca",75,4.7,Link,,,,,,,,,,Motion Matters: 2 locations
11,ADM Ottawa Physiotherapy - Bells Corners,Ottawa,"T : 613-820-8765
E : info@admottawaphysio.com",120,4.8,Link,,,,,,,,,,ADM: 2 locations
12,ActiveCARE Physio - Nepean,Ottawa,"T : 613-383-5451
E : info@acpottawa.ca",60,4.6,Link,,,,,,,,,,ActiveCARE: 4 locations
13,MapleCare Physiotherapy - Wellington St (Hintonburg),Ottawa,"T : 613-691-1515
E : info@maplecarephysiotherapy.com",80,4.5,Link,,,,,,,,,,MapleCare: 3 locations
14,"MapleCare Physiotherapy - Woodroffe (Nepean, OHIP)",Ottawa,"T : 613-691-1515
E : info@maplecarephysiotherapy.com",65,4.4,Link,,,,,,,,,,MapleCare: 3 locations
15,MapleCare Physiotherapy - Bank St,Ottawa,"T : 613-691-1515
E : info@maplecarephysiotherapy.com",50,4.4,Link,,,,,,,,,,MapleCare: 3 locations
16,Expert Physio Plus - Carleton Place,Ottawa,"T : 613-800-9800
E : info@expertphysioplus.com",40,4.6,Link,,,,,,,,,,Expert Physio Plus: 3 locations
17,Kent Chiro-Med Wellness Clinic,Ottawa,"T : 613-508-0113
E : info@kentchiromed.com",475,5.0,Link,,,,,,,,,,
18,Elite Physio Ottawa (Kanata),Ottawa,"T : 613-690-6775
E : info@elitephysioottawa.com",160,4.9,Link,,,,,,,,,,
19,Greenboro Physiotherapy & Massage Clinic,Ottawa,"T : 613-738-8934
E : N/A",95,4.7,Link,,,,,,,,,,
20,"iBalance Physiotherapy, Sports & Wellness Centre",Ottawa,"T : 613-979-8633 | 613-963-3708
E : N/A",234,5.0,Link,,,,,,,,,,
21,Chartier Physiotherapie and Multidisciplinary Clinic,Ottawa,"T : 613-680-3993 | 819-525-7500
E : info@chartierphysio.ca",272,5.0,Link,,,,,,,,,,
22,Ottawa Carleton Physiotherapy & Sports Injury Center,Ottawa,"T : 613-789-0015
E : info@ocphysio.com",140,4.6,Link,,,,,,,,,,
23,Bellefleur Physiotherapy Beechwood,Ottawa,"T : 613-424-7852 | 613-695-7852 | 613-446-1114
E : info@bellefleurphysio.com",67,4.8,Link,,,,,,,,,,
24,Activa Physiotherapy Ottawa,Ottawa,"T : 613-744-4188
E : N/A",112,4.9,Link,,,,,,,,,,
